yearmonth,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
1995-12-01,2.79,3.22,-1.93,-0.78,4.96,-0.02,-2.5,0.9,-1.9,4.56,2.98,4.74,6.61,1.98,-3.0,-2.89,-1.89,8.18,-0.41,1.36,-0.74,6.63,4.59,4.15,-0.53,6.28,3.03,0.19,7.43,5.81,5.09,4.13,-1.27,3.27,-4.05,-3.26,-6.84,1.23,-0.74,3.18,-1.46,2.07,-1.56,-0.01,0.89,2.57,5.65,-1.19,1.39
1996-01-01,-1.16,3.7,-2.53,3.26,1.8,8.24,3.21,0.5,2.6,-2.64,7.13,5.23,6.01,5.21,3.14,-3.91,3.45,1.89,3.9,-0.06,2.16,5.3,3.12,0.71,0.13,9.83,25.32,3.71,-2.34,-0.41,1.86,2.31,-0.4,1.53,5.43,0.96,-1.0,1.37,1.52,-0.4,-0.18,-0.42,-1.4,6.22,4.35,3.17,1.77,4.34,0.35
1996-02-01,8.66,1.34,5.63,5.62,3.27,1.48,1.91,3.07,-0.38,2.98,1.48,-0.87,-1.53,2.86,2.88,0.42,-1.93,0.42,-0.71,7.44,3.57,-0.74,1.74,3.17,2.09,-0.71,0.92,2.97,1.81,1.05,-2.65,-2.5,-0.26,2.16,11.39,6.32,4.14,-1.54,-2.26,7.31,4.19,3.19,5.52,3.8,2.69,1.31,4.73,2.15,1.61
1996-03-01,-1.26,-4.16,7.44,1.92,-7.72,-0.24,1.76,0.97,1.56,9.99,1.96,0.22,-0.03,5.73,3.65,2.73,2.11,1.93,5.43,-2.26,2.03,3.02,5.91,4.02,-0.34,3.22,-0.21,0.49,4.53,5.01,-0.51,-2.01,4.73,3.54,-7.93,-0.83,-2.2,2.11,2.94,4.39,3.25,2.62,8.24,0.96,3.16,-2.54,6.69,2.33,6.87
1996-04-01,5.91,-0.44,-1.05,-0.91,-1.58,0.77,3.09,2.89,3.9,5.12,0.57,-1.6,-0.61,-0.7,1.01,3.42,4.57,-0.59,1.98,8.79,3.48,0.4,2.98,0.53,10.47,-0.48,0.95,-0.06,0.64,3.45,-2.66,2.86,7.46,5.48,9.91,10.0,12.79,4.99,3.24,-0.26,2.6,5.03,4.39,2.59,-1.29,-1.31,2.29,0.55,5.05
1996-05-01,-2.04,5.81,4.94,9.68,5.46,4.11,2.25,3.1,3.22,7.24,1.37,2.63,4.51,-0.35,4.05,5.79,2.18,1.52,-0.12,5.39,0.94,6.18,1.4,2.87,-1.53,1.41,4.79,0.05,15.76,0.42,1.32,-0.02,6.19,4.08,3.77,3.05,5.35,2.19,0.84,4.57,-0.42,4.25,5.05,0.37,2.03,0.16,4.19,2.62,4.89
1996-06-01,-0.46,2.32,4.06,6.54,3.68,-1.74,-2.96,0.26,1.37,-0.26,-1.83,-3.38,0.58,-2.39,1.32,0.9,0.59,-1.19,-5.56,0.36,-4.91,3.13,-5.29,1.07,-0.73,-2.01,-17.03,-2.8,9.37,0.96,5.25,0.55,-2.52,-1.14,-7.05,-1.11,-6.85,-1.48,-1.36,-1.01,-1.42,-4.2,-1.16,-0.52,-0.02,1.54,0.2,1.13,-2.79
1996-07-01,-5.03,-2.19,-2.05,-5.79,0.18,-10.66,-12.08,-6.55,-3.22,-4.86,-10.24,-9.46,-5.07,-3.03,-3.74,-3.47,-4.22,-8.39,-5.72,-4.9,-8.48,-4.82,-4.28,-1.09,-1.66,-4.29,-0.39,-5.99,-8.38,-4.63,-5.81,-8.49,-6.4,-6.71,-6.04,-8.39,-8.83,-6.97,-1.71,-2.3,-7.17,-7.88,-7.6,-7.52,-0.47,-5.05,-9.0,-3.93,-10.88
1996-08-01,3.22,-1.13,9.51,2.16,-13.16,1.83,-0.13,3.45,1.55,5.82,7.37,5.38,3.69,3.72,3.55,3.5,3.22,3.53,5.76,7.71,4.62,1.7,3.2,4.1,3.61,1.12,5.05,0.44,1.17,2.94,2.89,-1.33,3.28,2.72,5.12,2.65,5.72,3.75,4.61,1.4,3.1,3.73,7.07,3.72,4.58,3.96,7.52,3.43,8.95
1996-09-01,3.95,9.69,9.02,0.72,1.39,7.17,8.03,2.62,6.39,6.38,3.73,10.03,7.44,5.94,2.85,-0.02,7.44,-1.18,2.05,1.96,6.5,9.98,-0.61,4.92,7.96,7.39,-8.38,3.08,10.34,4.02,0.68,1.77,8.16,4.49,12.2,11.01,10.59,4.49,4.88,2.25,1.54,4.86,3.46,0.45,6.45,5.14,2.74,5.03,5.43
1996-10-01,5.74,1.91,-2.47,0.81,3.28,-0.46,-1.63,1.14,1.01,0.09,-7.01,-5.25,0.86,1.51,0.46,-1.34,0.8,3.25,-0.8,-2.13,-1.66,5.68,4.92,2.84,0.1,-1.79,-2.84,1.05,1.04,5.98,3.6,-0.46,-4.27,-3.78,-0.89,-3.66,-0.62,-3.75,3.3,-0.51,2.11,0.05,-1.96,-3.52,7.13,3.64,-2.22,2.86,1.9
1996-11-01,1.0,6.3,2.98,2.7,10.76,6.53,9.41,5.35,5.39,-0.06,5.26,2.24,7.54,5.13,9.82,0.76,2.49,6.1,8.02,3.8,8.62,6.99,6.49,4.47,6.75,8.69,0.35,3.88,4.07,5.53,2.61,5.49,5.65,1.13,14.92,8.4,14.33,10.85,4.42,7.96,6.82,4.86,2.21,3.91,9.27,7.04,-0.13,8.04,3.7
1996-12-01,0.7,-2.84,4.66,0.54,9.26,-8.14,-5.66,-1.85,0.39,2.25,2.52,1.64,-3.95,-2.09,-2.41,1.73,3.14,-1.21,-1.48,-0.06,-0.8,-2.98,-2.42,5.72,-2.42,1.03,-1.49,-3.47,11.32,0.78,0.13,2.9,-3.33,-1.32,-5.38,-3.33,-0.2,0.37,-0.38,7.9,-1.33,-0.14,-4.4,-2.97,-3.42,0.27,0.07,2.02,-4.41
1997-01-01,4.93,2.65,11.21,11.37,4.59,2.92,3.86,0.76,6.76,5.28,2.53,4.45,11.39,3.82,0.28,5.54,4.97,11.42,4.91,4.51,5.35,4.29,3.49,1.71,2.43,1.08,-6.3,-0.61,12.29,4.36,0.92,2.33,3.93,0.89,6.66,7.85,15.56,4.8,1.16,0.12,2.21,0.01,0.36,1.76,7.83,4.88,5.45,5.72,14.54
1997-02-01,0.58,2.64,7.0,2.74,12.45,-0.12,-0.03,2.77,2.84,2.84,2.08,-1.25,1.13,1.07,-0.02,2.27,-2.02,-8.09,0.52,-3.02,-1.9,-0.99,0.21,-1.66,1.02,-3.82,21.95,11.18,-3.25,-5.76,-0.57,2.57,-3.36,-2.01,-8.17,-6.5,-9.46,-0.99,4.78,2.69,-1.13,-0.97,5.59,-2.84,4.17,3.03,6.79,5.38,-7.62
1997-03-01,-5.86,-0.8,-3.92,-6.52,-13.54,-0.7,-3.9,0.06,-6.22,-4.46,-10.68,-7.54,-7.06,-2.18,-3.91,-2.93,-5.55,-4.36,-4.61,-2.91,-1.64,-3.0,-4.04,-0.85,-2.41,-4.46,-15.51,-5.66,-5.4,5.29,-2.78,-7.85,-3.1,-4.28,-7.22,-7.24,-2.58,-7.37,-5.58,1.89,-0.13,-6.66,-0.57,1.2,-7.78,-4.13,-5.08,-7.03,-4.42
1997-04-01,5.91,3.67,1.71,11.39,3.21,4.01,3.51,-0.91,8.74,-3.38,1.83,2.07,7.25,3.31,4.16,-3.41,8.91,1.8,2.1,0.25,3.7,9.96,4.3,0.69,5.31,6.59,-10.09,-1.73,6.74,0.04,-1.39,2.57,4.76,1.78,6.61,12.67,5.52,6.41,3.15,6.84,5.73,0.44,1.85,5.92,6.21,6.01,-10.3,5.53,-3.58
1997-05-01,5.37,2.2,5.36,6.42,10.0,6.2,4.59,6.6,8.05,5.38,9.3,9.27,6.38,4.54,8.44,7.09,6.64,7.12,8.1,8.58,12.39,9.04,6.06,6.94,7.49,6.06,9.82,5.15,-4.66,7.34,3.79,6.56,8.24,11.56,12.92,10.11,7.81,8.71,7.8,7.61,6.16,8.78,6.28,1.08,4.39,7.62,8.97,7.45,8.82
1997-06-01,8.37,6.85,6.56,0.06,2.65,5.63,-0.67,6.87,4.15,3.78,7.36,5.89,9.51,6.17,3.23,2.49,5.57,5.16,4.32,7.15,6.48,6.82,3.11,3.9,2.96,9.78,-3.23,5.27,2.87,1.31,3.06,3.46,3.46,5.69,0.68,2.33,0.8,1.81,3.22,3.18,2.34,1.7,6.7,1.13,5.49,6.65,5.6,7.14,3.07
1997-07-01,-1.89,4.87,26.76,1.85,1.58,3.5,1.3,4.59,4.61,2.81,-3.28,6.48,2.08,7.08,2.18,3.23,8.64,13.36,10.35,1.04,9.89,8.64,8.06,7.95,12.76,3.92,4.16,0.62,10.79,7.45,2.81,2.46,1.61,3.62,22.68,10.74,18.52,6.63,5.8,5.72,8.14,5.04,8.99,7.27,11.96,7.89,7.78,11.82,3.88
1997-08-01,8.59,-4.71,-9.22,-12.64,-3.07,-3.6,-2.24,-2.69,-8.4,-5.27,-2.17,-1.5,-7.34,-4.58,0.06,0.8,-7.64,2.28,-1.84,2.06,1.04,-9.42,1.3,-7.63,-4.42,-1.18,2.38,-0.89,-5.22,0.33,-1.16,-2.74,-2.55,-1.52,-1.12,-2.66,-0.8,1.5,-2.88,-3.7,-4.14,1.57,-2.91,-4.98,-5.32,-7.13,-0.58,-3.55,-0.94
1997-09-01,6.78,6.89,1.12,8.09,-3.16,1.85,5.93,7.91,5.24,5.83,2.6,3.37,7.68,0.56,3.38,6.2,4.51,6.01,1.19,2.73,0.74,8.43,5.69,2.17,14.57,3.16,8.55,1.75,-4.37,6.32,4.64,9.7,14.77,4.27,5.27,2.51,2.47,4.46,3.4,-6.41,8.61,4.33,5.31,5.72,7.71,6.76,11.73,14.86,7.65
1997-10-01,-1.84,-1.52,2.17,-5.97,-4.32,5.49,-1.39,-0.4,-3.55,-7.86,-2.78,-6.89,1.59,-4.27,-4.06,-3.85,-3.38,-0.35,-7.7,-3.21,-8.82,-5.28,-3.78,-12.38,-3.34,-9.33,-20.69,-8.03,-17.2,-1.99,0.93,2.89,-4.24,-5.5,-8.98,-1.68,-12.72,-10.83,-6.2,-4.93,-1.42,-1.92,-1.49,-5.51,-1.13,-3.18,-7.27,-3.3,-13.56
1997-11-01,6.49,7.4,6.91,7.33,9.2,0.79,8.94,4.22,5.41,1.09,0.72,3.95,2.88,3.14,5.51,-1.16,3.56,-2.19,-3.46,-5.95,-2.74,12.02,-2.17,6.93,1.32,1.81,-17.44,-3.06,-7.03,-3.57,7.14,10.69,0.79,1.2,2.65,3.23,-1.28,0.54,3.51,-0.42,-0.78,1.3,6.65,3.21,3.75,2.52,1.58,5.91,-0.3
1997-12-01,2.28,2.51,12.67,4.21,5.54,-5.9,4.36,6.47,3.12,-7.69,1.06,2.29,3.99,-0.15,6.61,0.68,4.0,2.95,1.7,1.37,-0.96,-0.13,4.66,-2.05,-2.29,0.39,-2.57,-8.62,3.59,-1.46,7.94,4.22,5.19,5.93,-4.74,-4.0,-6.47,2.66,-6.84,-3.09,2.14,0.14,-0.79,-1.09,6.11,4.92,1.69,6.12,8.94
1998-01-01,-5.99,-2.62,-8.69,-1.99,-7.59,4.9,6.54,-0.59,0.64,-0.11,-9.69,3.29,7.65,-2.47,-2.59,0.12,-0.93,8.27,2.37,-3.73,-2.65,4.77,0.76,1.2,-1.96,5.12,-0.91,-1.37,-10.72,-5.75,-4.4,5.04,-0.92,-0.82,4.1,6.34,7.37,-0.73,3.26,-4.52,-0.23,-1.06,1.79,-1.82,-3.59,-0.18,0.05,-4.65,-7.36
1998-02-01,13.69,3.19,4.53,4.69,4.62,6.67,5.81,5.91,9.16,11.88,10.99,7.09,4.81,8.12,8.15,4.02,8.7,7.98,5.82,8.9,11.14,1.52,12.35,13.49,2.35,11.91,1.87,2.39,8.77,6.83,2.63,2.41,4.95,8.98,10.04,11.85,9.49,9.62,4.88,11.48,3.97,7.34,11.09,11.32,8.67,8.89,-1.32,11.14,4.42
1998-03-01,-0.4,4.4,10.43,12.46,-3.25,-3.23,0.23,5.59,4.08,4.5,5.11,2.13,3.65,5.56,2.96,7.62,8.84,6.67,3.37,5.07,2.57,9.64,6.08,-0.43,2.42,-1.93,6.74,13.48,5.65,4.78,6.75,10.11,7.42,6.58,-3.16,8.82,-2.09,0.53,2.04,5.42,6.94,3.31,7.15,6.21,5.98,5.86,1.47,6.27,10.87
1998-04-01,5.66,-4.72,2.21,-3.08,-10.95,-2.18,10.52,1.38,1.08,2.52,1.66,0.63,2.13,2.82,4.16,1.5,-1.48,-3.45,3.57,-0.78,1.56,-1.15,1.53,1.17,-1.68,-0.11,5.76,1.64,0.94,3.78,-2.52,-3.2,-9.46,0.15,10.65,0.68,6.4,-0.56,3.58,-3.63,-3.03,1.89,-0.25,0.87,1.91,1.7,-0.8,3.78,7.44
1998-05-01,4.75,0.71,1.68,2.89,0.63,-2.4,-7.14,-0.87,-1.19,-0.91,-6.03,-1.81,-2.28,1.14,-2.45,-2.87,-2.54,-6.12,-7.23,-6.01,-6.18,-2.52,9.65,-3.58,1.56,0.22,-19.92,-5.4,-1.67,-4.24,-0.88,-1.79,-5.95,-3.95,-4.34,-6.98,-10.21,-6.04,-5.64,0.8,-4.74,-3.68,3.9,1.0,-2.83,-1.41,-4.17,-2.02,-5.74
1998-06-01,5.27,-0.23,4.68,6.76,5.81,4.57,-3.54,6.25,3.68,2.22,-4.26,4.73,7.31,-3.41,-0.47,-6.85,-2.03,7.54,-1.73,-6.36,-5.88,6.46,2.24,-1.97,-5.47,-6.03,-4.73,-6.82,-2.22,-1.35,2.81,3.02,0.63,6.11,5.33,17.81,5.11,-4.08,-6.7,-7.7,1.08,0.38,6.67,-0.12,2.71,4.65,0.47,5.87,8.42
1998-07-01,-13.92,-7.1,-14.1,-4.49,10.55,-9.83,-1.07,-2.63,-3.43,-10.71,-8.03,1.3,0.18,-8.99,-4.21,-9.55,-6.37,0.1,-6.33,-6.22,-9.7,-2.04,-0.83,-5.5,-4.27,-5.9,-17.02,2.47,8.4,-7.05,-5.4,3.93,-7.88,-6.02,5.76,-5.02,4.47,-7.07,-6.38,-8.01,-6.06,-3.93,-2.21,-4.3,0.92,-5.0,-8.54,-2.29,-0.62
1998-08-01,-2.38,-8.28,-26.03,-19.74,-5.15,-16.12,-23.79,-9.98,-10.85,-22.39,-23.22,-16.16,-10.94,-11.89,-17.64,-14.92,-18.45,-23.89,-18.5,-21.37,-19.28,-11.24,-19.58,-20.53,-9.96,-11.58,-24.68,-14.87,-24.55,-10.06,1.96,-11.8,-20.27,-16.99,-13.8,-18.75,-21.16,-15.18,-14.09,-21.47,-16.78,-17.97,-13.19,-14.91,-24.08,-15.8,-17.94,-26.2,-22.59
1998-09-01,-8.44,5.54,4.72,-5.06,12.45,-7.35,-0.12,-0.21,-5.0,2.68,-3.73,7.98,13.63,0.73,-2.91,-5.85,-2.95,9.03,9.15,3.87,1.4,-0.04,2.03,6.17,4.16,13.42,79.52,4.63,5.11,13.22,8.15,10.16,3.97,7.94,17.23,19.26,9.22,6.24,6.23,-2.78,1.62,10.59,-0.4,0.9,3.82,2.83,-6.63,-9.07,11.98
1998-10-01,-2.33,8.54,38.9,15.75,10.79,17.79,5.27,7.49,18.71,5.95,3.48,5.98,3.63,1.75,14.8,3.02,12.98,8.99,8.22,4.53,13.62,10.09,11.19,13.91,17.05,9.02,-10.29,9.18,3.01,1.2,-1.78,6.86,3.49,4.93,7.91,-0.97,13.03,14.05,8.38,18.98,8.16,4.37,12.34,10.63,10.47,7.12,0.5,17.55,2.43
1998-11-01,7.24,4.17,4.96,5.78,9.2,0.66,14.87,8.78,0.87,5.19,7.21,5.87,6.18,4.43,5.87,9.68,3.61,4.71,-2.1,-0.4,4.02,3.88,5.43,10.11,1.56,-4.8,-8.05,4.31,6.12,0.31,1.34,3.61,16.26,4.27,8.94,15.16,13.65,2.08,5.94,8.95,2.98,2.51,10.99,3.58,5.8,5.37,5.26,11.39,-1.35
1998-12-01,-7.32,-1.44,-3.01,-0.34,-3.17,-17.35,-0.69,9.93,5.31,4.1,1.73,9.53,4.61,-4.55,3.91,5.35,2.77,14.74,-0.77,-3.9,-0.04,12.07,3.72,-6.71,4.01,-15.16,-5.33,2.13,22.5,-1.68,2.86,14.35,4.48,7.9,16.14,17.69,13.75,1.11,-0.45,2.19,3.75,4.55,10.49,7.28,3.95,2.02,3.51,2.24,4.67
1999-01-01,2.35,-4.21,-4.34,-1.66,-12.25,1.04,9.24,0.0,-2.05,5.8,-16.65,1.58,0.95,-5.23,1.88,-7.96,10.86,7.0,3.69,0.3,5.4,2.56,7.55,0.59,-2.88,-14.49,-1.02,-3.17,19.06,-6.27,-6.24,8.95,-9.08,2.91,16.18,19.22,11.37,4.08,-3.79,2.37,0.87,-0.33,3.33,1.24,-0.35,-2.87,0.53,12.2,-6.72
1999-02-01,-11.5,-3.19,-10.84,-1.32,-16.0,4.78,4.83,0.11,-1.36,1.08,-11.49,-4.7,1.31,1.12,-1.65,-8.28,-7.01,-5.75,-5.29,-13.21,-2.95,-4.6,-5.27,4.2,-1.54,5.07,-2.73,-1.34,6.25,-3.5,-3.62,-2.89,-12.15,-6.02,-14.03,-10.39,-11.34,-4.66,-1.35,-2.03,-1.14,-6.37,-1.0,6.92,-0.43,2.98,-8.56,0.5,0.07
1999-03-01,28.56,-4.98,-3.24,-1.66,-9.0,2.31,-5.84,3.41,4.81,0.72,-1.98,5.92,2.29,3.59,-5.72,-6.14,5.85,5.7,-2.54,-2.73,2.33,9.28,-0.78,4.53,2.89,0.16,-4.38,2.72,29.82,14.84,-1.64,-0.96,1.11,3.04,5.76,14.52,5.13,-1.07,0.55,6.97,3.0,-3.3,3.51,3.61,1.82,2.5,-2.9,9.73,-2.6
1999-04-01,2.65,0.8,11.21,5.05,0.09,13.25,3.63,5.49,4.19,8.54,19.95,0.58,-7.23,22.01,19.48,8.51,0.82,15.95,30.67,25.58,16.13,-3.01,9.86,15.07,9.87,13.94,22.36,19.22,22.92,15.53,7.35,7.74,6.04,3.37,3.95,-4.3,8.53,12.14,23.43,3.15,11.72,5.41,-0.45,-0.37,8.0,2.42,6.51,7.92,18.7
1999-05-01,-1.24,3.93,4.54,-0.62,10.0,-4.8,-5.45,-1.56,-2.99,-2.65,2.84,-1.35,-2.36,-5.81,1.15,2.53,-2.2,0.76,-7.36,8.41,-1.99,-2.62,-4.98,-1.97,-1.33,-3.57,-22.58,-4.71,-12.22,-2.67,6.72,1.03,-1.59,-2.53,1.93,-2.19,-2.3,1.28,-4.14,-2.74,-4.96,2.55,-3.6,-6.9,-6.27,0.29,2.95,-2.57,0.93
1999-06-01,2.69,1.57,-14.37,-4.35,4.86,-1.11,6.64,4.37,1.16,1.65,-3.83,4.59,4.89,2.52,4.09,3.56,-6.27,-9.75,8.8,12.17,9.34,10.53,-1.24,6.82,7.25,-6.46,7.82,8.78,-23.04,-0.49,-4.48,5.82,3.91,6.05,10.48,9.74,16.34,10.54,1.87,13.52,1.01,6.08,9.19,3.61,4.61,-0.38,1.22,2.18,7.36
1999-07-01,-2.5,-4.14,-0.24,0.26,-6.91,-6.65,-6.52,-0.67,-0.97,-9.11,-8.19,0.29,-4.91,-0.1,-4.22,-3.51,-0.38,-5.53,-1.14,-6.82,-1.54,-2.9,-7.13,0.05,-1.35,-4.76,-6.28,-9.06,-10.71,2.25,-0.44,-1.89,-6.96,-4.17,1.42,-6.6,3.75,-0.63,1.27,-6.99,-2.25,-0.63,-6.15,-2.52,-5.64,-2.43,-6.62,-11.7,-23.71
1999-08-01,-2.23,-1.52,-6.84,-3.86,0.56,-7.89,-0.35,-9.86,2.63,-11.66,-4.9,-0.66,4.72,-5.72,-7.56,-8.67,-1.9,-8.13,-0.48,-10.03,-1.72,2.32,3.98,-1.82,-6.91,2.11,6.99,-2.87,11.5,1.5,0.55,-7.97,-10.27,-3.41,7.9,3.06,8.78,0.3,-3.58,-6.91,-8.21,-4.58,-6.29,-4.08,-5.07,-5.02,-8.34,-5.79,-11.62
1999-09-01,0.27,-3.49,-16.9,-14.97,-6.92,-6.5,-2.21,1.56,-10.01,3.87,-8.87,-8.65,-6.78,-5.42,-3.79,-13.58,-11.66,-1.56,-2.47,-2.23,-1.2,4.85,-6.92,-6.64,-1.26,-9.53,21.25,-3.88,-11.13,-3.76,-4.33,4.08,-7.52,3.36,-1.86,3.28,-3.83,0.96,-2.91,-9.11,-6.4,-4.79,2.52,2.07,-3.58,-10.71,0.1,-4.15,-6.33
1999-10-01,-2.99,9.55,8.66,16.46,-24.96,-11.37,3.11,11.39,11.69,0.53,2.58,-3.61,13.03,2.21,-5.91,2.4,1.62,-6.42,1.02,-10.98,2.69,12.55,2.21,0.93,-7.9,-30.08,-12.88,1.61,24.87,-2.46,2.21,8.77,-4.42,2.67,0.83,2.6,5.91,-2.38,5.14,2.04,7.67,-6.89,6.0,-4.5,15.08,13.55,-5.54,11.77,-0.68
1999-11-01,-8.18,-6.41,-12.04,8.86,3.5,7.85,5.59,-8.59,0.26,-9.72,10.8,6.73,0.59,-0.6,3.06,2.18,2.81,2.74,7.29,-4.79,0.08,-3.49,-3.26,-4.52,-4.18,0.08,3.84,0.45,-1.41,4.04,-7.39,4.43,0.53,5.2,18.21,11.7,11.18,6.32,-0.34,-2.03,-5.23,4.82,4.04,4.74,-5.68,-3.56,1.25,5.05,-3.36
1999-12-01,-5.92,-5.86,-4.75,-8.83,-10.19,-2.17,8.26,13.45,3.71,3.85,6.13,-1.03,-6.65,6.64,3.63,2.64,3.77,4.49,22.36,2.11,11.69,17.63,2.98,4.0,-1.1,6.64,-0.86,11.04,19.81,-0.17,-2.28,2.93,-0.01,18.06,18.46,26.11,15.73,18.82,7.24,3.85,-0.32,7.32,8.21,-7.34,-5.18,1.65,0.23,10.86,12.26
2000-01-01,-3.15,-10.42,20.46,-2.29,-8.77,-13.74,4.67,-0.52,-6.55,-11.86,0.63,8.81,7.73,-9.25,-8.6,-7.59,-11.38,-7.56,-2.42,-1.43,-0.36,-12.58,-1.19,-9.1,-10.72,-12.52,-15.84,-1.96,40.76,-1.31,6.03,-3.54,-8.31,-7.44,-2.87,-10.51,-0.33,9.07,-8.67,-13.04,-9.53,8.3,-14.3,-7.32,-2.57,-7.45,-0.23,-6.79,0.46
