,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
Hlth ,9.49365861344537,9.986420588235294,19.790953151260506,17.550024579831934,15.501590126050418,12.832101260504196,10.544549579831937,10.973788025210078,11.460251050420172,18.979980882352944,51.88391302521009,14.024284453781513,6.592605042016802,16.755487605042017,12.479463865546215,17.809334453781513,16.604062815126042,17.337987605042017,15.87083298319328,21.312431932773112,13.670270378151264,9.144970798319328,15.556369957983192,18.034037815126055,19.785792436974788,21.248613445378155,14.611045798319324,18.9282857142857,17.743389075630255,12.127351470588238,11.53723193277311,3.1832063025210093,24.659457563025217,12.221086344537822,3.104477731092438,0.5585615546218461,4.2915472689075616,11.94627457983193,18.36726533613445,16.35114747899159,14.618338235294122,17.206995378151262,10.360693697478979,14.347742016806718,16.75362142857142,20.670193487394968,15.017545588235306,17.414232773109244,15.998106092436974
MedEq,8.262753291316526,5.400095658263306,14.258754831932778,8.770639985994395,10.438549229691874,8.638266806722688,14.872703361344538,8.492502310924372,8.49846337535014,10.220971078431377,14.024284453781513,20.065024509803923,13.127764985994395,9.3671643557423,9.570785434173674,9.105636694677871,12.292161974789916,14.336237464986002,17.72314530812325,12.649073389355738,16.182956092436974,13.601894887955181,13.320012254901966,12.559272829131654,9.192005882352941,4.9998277310924335,10.847972969187676,11.55834845938376,17.729722689075633,7.237287885154063,5.495092717086838,12.877556442577028,14.517490896358545,14.932008193277314,24.323310784313716,20.24607051820728,26.010169677871158,20.780730602240904,8.87532275910364,10.470011624649862,9.334003221288514,14.324724509803916,10.109465966386555,9.709683753501396,12.417796218487394,10.48986239495799,10.379679201680666,18.797622128851536,15.141576680672271
Drugs,3.188541372549019,10.499551988795522,12.040546806722686,14.967180308123256,9.172327703081233,4.8477717647058824,13.158480672268904,7.680434705882353,11.525239691876742,6.183977955182069,6.592605042016802,13.127764985994395,25.863334341736703,7.0575364425770335,3.276623641456581,2.9482073389355743,9.12920949579831,7.464472913165262,11.634671456582634,1.3520400560224064,8.691216722689079,13.28402490196079,8.626040812324929,10.735954229691876,4.792691092436973,-0.13825882352941135,5.672530812324931,5.230857927170867,10.379324537815123,5.594856778711484,7.518616358543415,14.87600985994398,8.046770700280113,11.766445294117638,18.4147136694678,18.796523053221286,17.961046078431373,14.269427591036411,6.9286514005602235,5.525937198879551,7.935988123249297,9.067092885154059,8.351047731092438,8.898698431372551,13.543492268907562,13.124826470588228,3.350847647058823,16.032230980392153,16.212326302521
Chems,10.301292948179272,10.611120686274504,16.21619271008404,11.912622850140053,6.590437471988798,19.423958949579838,19.817381932773113,14.123695525210083,10.717349670868344,23.34024948879552,16.755487605042017,9.3671643557423,7.0575364425770335,28.0507512535014,17.579840448179276,18.59566532212884,18.735898466386544,18.732388984593833,30.111226183473388,20.95651862745099,24.974251491596632,20.35969265406163,22.81853419467787,25.983579439775916,18.071283109243694,14.635250840336134,15.086449509803925,23.340743641456594,21.10229302521009,16.869626211484587,8.882731904761906,13.356596204481786,15.528899901960786,16.97244182773109,19.1435769047619,17.562622738095236,22.151994502801124,21.380524964985998,23.087159698879542,23.49908278711485,20.035241274509797,12.886864943977592,17.509115168067222,15.952762296918772,19.697202983193282,18.001592121848738,11.636081785714287,25.344189383753488,19.322872626050426
Rubbr,9.110701904761903,5.589341288515405,20.361362857142854,11.68760330532213,9.50505338935574,20.4093618487395,23.047295798319308,13.028349747899158,10.005113669467791,17.697126666666676,12.479463865546215,9.570785434173674,3.276623641456581,17.579840448179276,33.34521165266106,19.526610308123246,16.269069075630252,20.42417540616247,29.301283585434177,26.66808683473389,28.3914517647059,17.472217535014,19.846949523809517,16.034594509803924,13.152693781512607,11.157935294117651,15.581068347338936,16.52398156862745,26.638951092436972,10.547868851540619,5.94213070028011,13.12989182072829,17.220544425770303,17.353300504201687,22.209066162464996,20.777021904761895,27.609853501400565,26.23881820728291,14.330535574229687,23.708498935574234,16.170084985994404,14.699696190476189,16.434104369747903,11.457834341736687,14.624415294117645,8.345373109243695,14.00970487394957,26.77900263305322,18.498861512605043
Txtls,10.231922240896354,9.760704817927168,18.532962521008397,13.040900112044826,4.3770478431372535,18.67164689075631,23.738903361344533,13.555692941176469,10.242911316526616,24.793377759103652,17.809334453781513,9.105636694677871,2.9482073389355743,18.59566532212884,19.526610308123246,38.14453400560222,18.96441731092437,23.505890364145667,24.996123585434184,25.959059943977593,25.18009731092436,17.760291820728284,26.54145641456583,22.270063081232486,18.467444369747902,11.269155462184877,5.333230532212883,20.20497467787115,10.282136470588235,10.839700112044818,8.039989019607845,14.193224761904755,20.074654845938383,17.15198218487395,17.320771876750694,15.158951148459378,25.42439635854342,20.315911484593833,18.021997759103645,24.82534414565826,20.517674565826322,13.95046980392157,21.80988621848739,16.898217871148457,18.10908117647059,14.638337815126047,17.742470924369748,23.227627507002804,15.273581176470593
BldMt,11.856161533613445,11.01222609243697,21.2347900630252,16.74654787815127,11.875961827731093,19.496025924369743,20.239218907563014,13.786947752100842,15.061402289915968,22.85105149159664,16.604062815126042,12.292161974789916,9.12920949579831,18.735898466386544,16.269069075630252,18.96441731092437,28.049018760504204,24.33577334033612,23.47886359243698,17.522986974789912,23.696425399159672,21.779396281512607,22.983654180672264,23.67218638655462,15.860247142857153,10.506210504201686,3.857413235294119,17.948017142857143,26.7416842857143,12.175263004201677,7.592526638655459,14.447246092436973,18.51517264705884,17.755285483193273,21.873309369747894,21.474284684873943,25.366516281512602,20.955848004201684,18.61130346638656,25.214842142857147,19.72141726890755,13.101081554621851,18.177037773109248,18.420451428571447,18.641678529411774,17.735535189075634,12.72136485294117,27.992292689075622,13.546986617647066
Cnstr,11.770463788515404,8.508447913165265,17.219321197478997,11.00970041316527,15.191775371148465,22.971598277310918,25.28093739495798,17.160366197478996,9.439153284313726,28.853732429971995,17.337987605042017,14.336237464986002,7.464472913165262,18.732388984593833,20.42417540616247,23.505890364145667,24.33577334033612,47.37758032913165,35.439664754901955,29.01468585434174,29.886203004201686,22.36202551120449,27.296266379551824,24.904408347338933,16.593981260504208,9.47834075630252,18.4339806022409,24.03087658263305,32.8201950420168,17.322677724089623,12.775758459383756,18.6780993977591,21.38308528011204,21.066704264705884,30.78830396358543,28.478518284313715,35.14300500700281,27.690975805322125,18.973029026610643,22.949603963585428,23.074797913165277,19.620672002801115,21.405880378151267,21.12213422969187,22.057606008403358,17.064332878151266,19.110116995798307,31.607499803921563,21.504107163865548
Steel,12.152487766106443,4.0964960364145675,13.364101533613443,7.564534754901961,8.12059643557423,27.371105168067217,38.22450210084034,19.84111443277311,11.414776421568632,27.476627780112036,15.87083298319328,17.72314530812325,11.634671456582634,30.111226183473388,29.301283585434177,24.996123585434184,23.47886359243698,35.439664754901955,76.2920630182073,40.179782212885165,50.89518636554624,36.71485301820729,36.75211584733895,33.20985703081232,20.852428487394945,7.029128151260498,30.695949229691887,35.66673131652661,36.962945126050414,21.587056603641443,8.17577532212885,29.4372687535014,20.3849094257703,33.12782039915965,66.50743040616246,53.34301671568627,71.47261285014002,57.7283416316527,26.03045395658263,31.284469901960772,24.728310742296923,24.568262703081224,24.514750462184885,17.242583585434176,22.626609705882345,14.117624474789917,16.657667079831935,49.91899330532214,35.75911254201682
FabPr,13.447690616246497,5.240791316526608,20.99143235294118,8.081327871148456,10.428158963585432,23.201410924369746,24.70723613445378,12.913430672268904,6.8087855742296925,23.723041316526608,21.312431932773112,12.649073389355738,1.3520400560224064,20.95651862745099,26.66808683473389,25.959059943977593,17.522986974789912,29.01468585434174,40.179782212885165,51.869022408963595,33.581342436974786,18.108913305322133,30.174406862745094,23.99712801120448,18.232340336134452,13.027583193277309,18.97282240896359,25.077547338935574,21.53994369747899,16.007538795518204,10.271926610644257,15.082381792717085,22.025634733893554,20.693978571428566,32.108724089635864,26.43316708683472,35.962895658263314,31.175338515406164,18.30535644257703,25.95817282913165,19.85069803921569,19.58789523809524,16.095723529411757,14.194417927170866,18.05679831932772,11.957010504201678,19.6832399159664,28.472925770308127,24.59637605042017
Mach ,14.250773046218487,5.112683739495798,19.517622079831927,7.9112266176470545,5.103240735294114,26.326054663865538,36.110727310924375,18.593869516806734,11.629663382352938,28.239743340336137,13.670270378151264,16.182956092436974,8.691216722689079,24.974251491596632,28.3914517647059,25.18009731092436,23.696425399159672,29.886203004201686,50.89518636554624,33.581342436974786,48.89229489495796,31.226908802521002,32.96059594537816,29.481486890756308,19.402122941176465,7.923127310924374,19.04274180672269,26.740564873949577,34.10237050420169,17.208528298319326,5.463425294117646,22.458531134453782,20.402078025210095,28.12918523109243,50.3646386134454,42.083027794117626,60.05778392857142,47.49545430672267,22.282024054621846,32.437073907563025,24.14911609243698,21.001766092436963,23.92270701680671,17.976158487394958,19.872865420168075,12.296569222689074,16.206133844537813,40.58578983193277,26.067837794117644
